Alignment name,Distance from boundary,Alignment position,Probability
C_1_BBS30021_B-2_BBS30009,0.7556440554206922,88-118,0.8560724045985908
C_1_BBS30025_C-2_BBS30009,0.21839060809052668,75-100,0.6648770902763358
C_1_BBS30026_C-2_BBS30001,0.18102810107248857,3-28,0.6476718457390717
C_1_BBS30026_C-2_BBS30003,0.07360349835859026,30-49,0.5969214447238995
ROC stats
Distance from boundary,TPR,TNR,PREC
-1.0,0.9473684210526315,0.6312056737588653,0.4090909090909091
-0.9,0.9473684210526315,0.7092198581560284,0.4675324675324675
-0.8,0.9473684210526315,0.7446808510638298,0.5
-0.7000000000000001,0.9473684210526315,0.7872340425531915,0.5454545454545454
-0.6000000000000001,0.9210526315789473,0.8297872340425532,0.5932203389830508
-0.5000000000000001,0.9210526315789473,0.8794326241134752,0.6730769230769231
-0.40000000000000013,0.9210526315789473,0.900709219858156,0.7142857142857143
-0.30000000000000016,0.8947368421052632,0.9078014184397163,0.723404255319149
-0.20000000000000018,0.8947368421052632,0.9148936170212766,0.7391304347826086
-0.1000000000000002,0.8947368421052632,0.9219858156028369,0.7555555555555555
-2.220446049250313e-16,0.8947368421052632,0.9290780141843972,0.7727272727272727
0.09999999999999964,0.8947368421052632,0.9432624113475178,0.8095238095238095
0.19999999999999973,0.868421052631579,0.950354609929078,0.825
0.2999999999999998,0.8157894736842105,0.9574468085106383,0.8378378378378378
0.3999999999999997,0.7894736842105263,0.9574468085106383,0.8333333333333334
0.49999999999999956,0.7631578947368421,0.9574468085106383,0.8285714285714286
0.5999999999999996,0.7368421052631579,0.9574468085106383,0.8235294117647058
0.6999999999999997,0.6842105263157895,0.9716312056737588,0.8666666666666667
0.7999999999999996,0.6842105263157895,0.9787234042553191,0.896551724137931
0.8999999999999995,0.6578947368421053,0.9787234042553191,0.8928571428571429
0.9999999999999996,0.6052631578947368,1.0,1.0
