Alignment name,Distance from boundary,Alignment position,E-value
A_BBS30024_A,2.3223382334573053,144-158,0.09804406745660918
A_BBS30024_A,1.0418609059806083,98-114,0.3527975476494686
A_BBS30024_A,0.2583858744399614,269-279,0.7722971648663852
A_BBS30024_B,4.790081485345287,142-162,0.008311780066059201
A_BBS30024_B,0.8844000001410821,97-117,0.4129618760281667
A_BBS30024_C,0.6906012309772612,141-153,0.5012745966322444
A_BBS30025_A,0.9205203890063315,4-14,0.3983117101077794
A_BBS30025_B,2.952472946218965,3-14,0.052210432579430546
A_BBS30025_B,4.3307797633644025,59-76,0.013157283921045565
A_BBS30025_C,8.542388036484658,2-15,0.00019502397924284315
A_BBS30026_A,5.15649092493901,3-23,0.005761883132733307
A_BBS30026_A,1.6733301157856548,175-190,0.1876212237551928
A_BBS30026_A,0.7492843110454769,327-338,0.4727047412697596
A_BBS30026_B,4.79132201916019,217-233,0.008301475414780907
A_BBS30026_B,2.404305359780108,368-381,0.09032821943622749
A_BBS30026_B,0.8473301817011487,4-16,0.4285575768035927
A_BBS30026_C,14.111541942440583,1-31,7.437640850075719e-07
A_BBS30026_C,4.07842193180062,372-386,0.016934167849986737
A_BBS30026_C,3.5666607171883795,214-232,0.028250031193704162
A_BBS30027,11.144489695512103,2-21,1.445471794210363e-05
A_BBS30027,0.08828800047671907,104-115,0.9154971751291837
A_BBS30029,12.559781171917278,1-21,3.5103978760268817e-06
A_BBS30029,4.887779172302045,93-118,0.007538144820204477
A_BBS30029,2.5360639200359296,356-375,0.07917743597681315
A_BBS30029,0.3260480198416622,52-68,0.7217705272930982
A_BBS30030,13.205771247942385,152-179,1.8399516792923224e-06
A_BBS30030,6.2987789102192835,8-26,0.0018385484396043524
A_BBS30030,0.811877367125088,322-340,0.444023687776481
C_1_BBS30021_A-2_BBS30025_A,0.24218934607508116,39-60,0.7849075443178957
C_1_BBS30021_B-2_BBS30022,0.122099648295044,26-37,0.8850601693713643
C_1_BBS30026_C-2_BBS30001,1.4561497545220086,10-28,0.2331321649883191
C_1_BBS30026_C-2_BBS30003,0.7039803908193327,29-49,0.4946126288203622
ROC stats
Distance from boundary,TPR,TNR,PREC
-1.0,1.0,0.0,0.2122905027932961
-0.9,1.0,0.3120567375886525,0.2814814814814815
-0.8,1.0,0.5460992907801419,0.37254901960784315
-0.7000000000000001,1.0,0.6312056737588653,0.4222222222222222
-0.6000000000000001,1.0,0.7446808510638298,0.5135135135135135
-0.5000000000000001,1.0,0.7872340425531915,0.5588235294117647
-0.40000000000000013,1.0,0.900709219858156,0.7307692307692307
-0.30000000000000016,0.9736842105263158,0.9219858156028369,0.7708333333333334
-0.20000000000000018,0.9736842105263158,0.9432624113475178,0.8222222222222222
-0.1000000000000002,0.9736842105263158,0.9574468085106383,0.8604651162790697
-2.220446049250313e-16,0.9210526315789473,0.9716312056737588,0.8974358974358975
0.09999999999999964,0.9210526315789473,0.9858156028368794,0.9459459459459459
0.19999999999999973,0.9210526315789473,0.9858156028368794,0.9459459459459459
0.2999999999999998,0.868421052631579,0.9929078014184397,0.9705882352941176
0.3999999999999997,0.8421052631578947,0.9929078014184397,0.9696969696969697
0.49999999999999956,0.8157894736842105,0.9929078014184397,0.96875
0.5999999999999996,0.8157894736842105,1.0,1.0
0.6999999999999997,0.8157894736842105,1.0,1.0
0.7999999999999996,0.7894736842105263,1.0,1.0
0.8999999999999995,0.7631578947368421,1.0,1.0
0.9999999999999996,0.6842105263157895,1.0,1.0
